province,region,average_price,average_land_area,average_no_of_bedrooms,average_no_of_bathrooms,average_magnitude
Aklan,Region VI,2464000.0,44.0,1.5,1.0,2.544
Bataan,Region III,18242857.14285714,4064.714285714286,3.2857142857142856,2.2857142857142856,2.2053291536050157
Batangas,Region IV-A,19834158.17857143,247.64464285714286,3.517857142857143,2.8392857142857144,2.2257943743937925
Benguet,CAR,25467000.0,315.5,4.2,3.2,2.225085910652921
Bohol,Region VII,6983333.333333333,547.0,3.1666666666666665,2.3333333333333335,2.2749475890985327
Bukidnon,Region X,1700000.0,116.0,3.0,2.0,2.5483798882681565
Bulacan,Region III,5141883.721311475,106.43278688524589,2.5901639344262297,1.8360655737704918,2.023913043478261
Cagayan,Region II,4400000.0,201.0,3.0,2.0,2.5630448127685694
Camarines Sur,Region V,3565000.0,63.0,2.0,1.0,2.405597014925373
Cavite,Region IV-A,13148883.774390243,154.51646341463416,3.4634146341463414,2.548780487804878,2.456
Cebu,Region VII,23382922.11627907,326.51162790697674,3.813953488372093,3.395348837209302,2.2664688427299704
Davao del Norte,Region XI,2500000.0,100.0,2.0,1.0,2.65
Davao del Sur,Region XI,13462117.647058824,215.6764705882353,3.735294117647059,3.088235294117647,2.6125
Ilocos Sur,Region I,6500000.0,746.0,3.0,2.0,2.4995351925630813
Iloilo,Region VI,6004830.0,130.66666666666666,3.2,2.3333333333333335,2.5848837209302324
Isabela,Region II,3000000.0,119.0,1.0,1.0,2.550378378378378
La Union,Region I,8586750.0,125.75,3.5,2.25,2.3748538011695906
Laguna,Region IV-A,10752959.537037037,153.5851851851852,3.2962962962962963,2.4166666666666665,2.0684782608695653
Negros Occidental,Region XVIII,7832310.0,171.83333333333334,2.6666666666666665,2.5,2.4746085772634445
Negros Oriental,Region XVIII,13880000.0,985.1,4.0,2.9,2.4477460901563934
Nueva Ecija,Region III,6043244.987179487,98.67948717948718,3.0128205128205128,1.8846153846153846,2.121341463414634
Pampanga,Region III,12963471.114942528,207.5080459770115,3.425287356321839,3.2988505747126435,2.292857142857143
Pangasinan,Region I,7963614.285714285,140.81428571428572,3.557142857142857,2.4,2.4845624385447396
Rizal,Region IV-A,16190730.366197184,185.5718309859155,3.8732394366197185,3.4014084507042255,2.0226415094339623
Sorsogon,Region V,4447333.333333333,66.0,2.3333333333333335,1.3333333333333333,2.609192200557103
South Cotabato,Region XII,4736929.8,88.76,2.6,1.4,2.272616136919315
Taguig,NCR,92541483.0,188.2,3.933333333333333,4.166666666666667,1.1
Tarlac,Region III,6362916.666666667,114.525,3.1333333333333333,1.9666666666666666,2.2530054644808746
Zambales,Region III,7870361.111111111,138.61111111111111,3.75,2.4444444444444446,2.3154634146341464
